name,Type,Crew,Min Speed,Max Speed,Wingspan,Height,Length,Max Payload,Empty Weight,Max Weight,Operator,Commissioned,Propulsion,picture,Nation,Category
An-12BK-PPS Cub D, Electronic Warfare,6, 210 kt, 410 kt, 38.0 m, 10.5 m, 33.1 m, 20000 kg, 28000 kg, 61000 kg, Frontal Aviation [VVS],1983, 4x AI-20M [WJ-6],https://cmano-db.com/images/DB3000/aircraft_902.jpg,Soviet,aircraft
An-12BP Cub A, Transport,6, 210 kt, 410 kt, 38.0 m, 10.5 m, 33.1 m, 20000 kg, 28000 kg, 61000 kg, Frontal Aviation [VVS],1965, 4x AI-20M [WJ-6],https://cmano-db.com/images/DB3000/aircraft_984.jpg,Soviet,aircraft
An-22 Cock, Transport,7, 210 kt, 390 kt, 64.4 m, 12.5 m, 57.9 m, 60000 kg, 118727 kg, 225000 kg, Military Transport Aviation (VTA),1969, 4x NK-12MA,https://cmano-db.com/images/DB3000/aircraft_2509.jpg,Soviet,aircraft
An-225 Cossack, Transport,6, 250 kt, 450 kt, 88.4 m, 18.1 m, 84.0 m, 250000 kg, 285000 kg, 640000 kg, Military Transport Aviation (VTA),1989, 6x D-18T,https://cmano-db.com/images/DB3000/aircraft_892.jpg,Soviet,aircraft
An-22A Cock, Transport,7, 210 kt, 390 kt, 64.4 m, 12.5 m, 57.9 m, 60000 kg, 118727 kg, 225000 kg, Military Transport Aviation (VTA),1968, 4x NK-12MA,https://cmano-db.com/images/DB3000/aircraft_2512.jpg,Soviet,aircraft
An-26 Curl A, Transport,5, 180 kt, 300 kt, 29.2 m, 8.3 m, 23.8 m, 5500 kg, 16300 kg, 24000 kg, Military Transport Aviation (VTA),1971, 2x AI-24T,https://cmano-db.com/images/DB3000/aircraft_606.jpg,Soviet,aircraft
An-26RR Curl B, Signals Intelligence (SIGINT),5, 180 kt, 300 kt, 29.2 m, 8.3 m, 23.8 m, 5500 kg, 16300 kg, 24000 kg, Frontal Aviation [VVS],1975, 2x AI-24T,https://cmano-db.com/images/DB3000/aircraft_607.jpg,Soviet,aircraft
An-32 Cline, Transport,5, 160 kt, 270 kt, 29.2 m, 8.8 m, 23.8 m, 6700 kg, 16800 kg, 27000 kg, Military Transport Aviation (VTA),1986, 4x AI-20M,https://cmano-db.com/images/DB3000/aircraft_609.jpg,Soviet,aircraft
An-71 Madcap, Transport,3, 180 kt, 400 kt, 31.9 m, 8.7 m, 28.1 m, 7500 kg, 19050 kg, 34500 kg, Frontal Aviation [VVS],1985, 2x D-36-3A,0,Soviet,aircraft
An-72A Coaler C, Transport,3, 180 kt, 400 kt, 31.9 m, 8.7 m, 28.1 m, 7500 kg, 19050 kg, 34500 kg, Military Transport Aviation (VTA),1985, 2x D-36-3A,https://cmano-db.com/images/DB3000/aircraft_610.jpg,Soviet,aircraft
An-74A Coaler B, Transport,3, 180 kt, 400 kt, 31.9 m, 8.7 m, 28.1 m, 7500 kg, 19050 kg, 34500 kg, Military Transport Aviation (VTA),1986, 2x D-36-3A,https://cmano-db.com/images/DB3000/aircraft_611.jpg,Soviet,aircraft
Be-12PL Mail, Anti-Submarine Warfare (ASW),4, 160 kt, 280 kt, 29.8 m, 7.9 m, 30.1 m, 3000 kg, 24500 kg, 36000 kg, Naval Aviation [AV-MF],1982, 2x AI-20D-4,https://cmano-db.com/images/DB3000/aircraft_692.jpg,Soviet,aircraft
Be-12PS Mail, Search And Rescue (SAR),6, 160 kt, 280 kt, 29.8 m, 7.9 m, 30.1 m, 3000 kg, 24500 kg, 36000 kg, Naval Aviation [AV-MF],1974, 2x AI-20D-4,https://cmano-db.com/images/DB3000/aircraft_2680.jpg,Soviet,aircraft
Il-20M Coot A, Electronic Intelligence (ELINT),13, 220 kt, 360 kt, 35.9 m, 10.7 m, 37.4 m, 0 kg, 35000 kg, 64000 kg, Frontal Aviation [VVS],1971, 4x AI-20M,https://cmano-db.com/images/DB3000/aircraft_2118.jpg,Soviet,aircraft
Il-38 May, Maritime Patrol Aircraft (MPA),8, 215 kt, 410 kt, 37.4 m, 10.7 m, 39.6 m, 0 kg, 33700 kg, 63500 kg, Naval Aviation [AV-MF],1982, 4x AI-20M,https://cmano-db.com/images/DB3000/aircraft_5.jpg,Soviet,aircraft
Il-62 Classic, Transport,5, 230 kt, 480 kt, 43.2 m, 12.4 m, 53.1 m, 0 kg, 67500 kg, 167000 kg, Military Transport Aviation (VTA),1968, 4x NK-8-4,https://cmano-db.com/images/DB3000/aircraft_893.jpg,Soviet,aircraft
Il-76M Candid B, Transport,7, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1982, 4x D-30KP,https://cmano-db.com/images/DB3000/aircraft_450.jpg,Soviet,aircraft
Il-76MD Candid B, Transport,7, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1978, 4x D-30KP,https://cmano-db.com/images/DB3000/aircraft_2624.jpg,Soviet,aircraft
Il-76SK Candid ACP, Airborne Command Post (ACP),7, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1989, 4x D-30KP,0,Soviet,aircraft
Il-76T Candid A, Transport,7, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1976, 4x D-30KP,https://cmano-db.com/images/DB3000/aircraft_295.jpg,Soviet,aircraft
Il-76VPK Candid ACP, Airborne Command Post (ACP),7, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1989, 4x D-30KP,https://cmano-db.com/images/DB3000/aircraft_872.jpg,Soviet,aircraft
Il-78 Midas, Tanker (Air Refueling),6, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1985, 4x D-30KP-2,https://cmano-db.com/images/DB3000/aircraft_232.jpg,Soviet,aircraft
Il-78M Midas, Tanker (Air Refueling),6, 250 kt, 470 kt, 50.5 m, 14.8 m, 46.6 m, 50000 kg, 88000 kg, 195000 kg, Military Transport Aviation (VTA),1988, 4x D-30KP-2,https://cmano-db.com/images/DB3000/aircraft_870.jpg,Soviet,aircraft
Il-80 Maxdome ACP, Airborne Command Post (ACP),4, 230 kt, 510 kt, 60.2 m, 15.7 m, 48.1 m, 0 kg, 117500 kg, 215000 kg, Military Transport Aviation (VTA),1988, 4x NK-86,https://cmano-db.com/images/DB3000/aircraft_449.jpg,Soviet,aircraft
KM-08 Duck [Pr.902R Lun], Attack,15, 180 kt, 270 kt, 44.0 m, 19.5 m, 73.8 m, 0 kg, 286000 kg, 380000 kg, Naval Aviation [AV-MF],1990, 8x NK-87,https://cmano-db.com/images/DB3000/aircraft_2395.jpg,Soviet,aircraft
Ka-25BSh Hormone A, Anti-Submarine Warfare (ASW),2, 55 kt, 115 kt, 3.8 m, 5.4 m, 9.8 m, 600 kg, 4765 kg, 7100 kg, Naval Aviation [AV-MF],1972, 2x GTD-3F,https://cmano-db.com/images/DB3000/aircraft_50.jpg,Soviet,aircraft
Ka-25PS Hormone C, Recon,2, 55 kt, 115 kt, 3.8 m, 5.4 m, 9.8 m, 600 kg, 4765 kg, 7200 kg, Naval Aviation [AV-MF],1972, 2x GTD-3F,https://cmano-db.com/images/DB3000/aircraft_231.jpg,Soviet,aircraft
Ka-25Ts Hormone B, Recon,2, 55 kt, 115 kt, 3.8 m, 5.4 m, 9.8 m, 600 kg, 4765 kg, 7100 kg, Naval Aviation [AV-MF],1972, 2x GTD-3F,https://cmano-db.com/images/DB3000/aircraft_51.jpg,Soviet,aircraft
Ka-27PL Helix A, Anti-Submarine Warfare (ASW),3, 55 kt, 135 kt, 3.65 m, 5.4 m, 11.3 m, 12000 kg, 6500 kg, 1800 kg, Naval Aviation [AV-MF],1982, 2x TV3-117KM,https://cmano-db.com/images/DB3000/aircraft_4.jpg,Soviet,aircraft
Ka-27PS Helix D, Search And Rescue (SAR),3, 55 kt, 135 kt, 3.65 m, 5.4 m, 11.3 m, 12000 kg, 6500 kg, 1800 kg, Naval Aviation [AV-MF],1983, 2x TV3-117KM,https://cmano-db.com/images/DB3000/aircraft_2372.jpg,Soviet,aircraft
Mi-10K Harke B, Transport,4, 55 kt, 115 kt, 5.0 m, 7.8 m, 32.9 m, 0 kg, 24680 kg, 39800 kg, Red Army,1968, 2x D-25V,https://cmano-db.com/images/DB3000/aircraft_2410.jpg,Soviet,aircraft
Mi-10PP Harke, Electronic Warfare,4, 55 kt, 115 kt, 5.0 m, 7.8 m, 32.9 m, 0 kg, 22400 kg, 39800 kg, Red Army,1972, 2x D-25V,https://cmano-db.com/images/DB3000/aircraft_2411.jpg,Soviet,aircraft
Mi-10R Harke A, Transport,4, 55 kt, 115 kt, 5.0 m, 9.8 m, 32.9 m, 0 kg, 27300 kg, 43700 kg, Red Army,1964, 2x D-25V,https://cmano-db.com/images/DB3000/aircraft_2409.jpg,Soviet,aircraft
Mi-14BT Haze B, Mine Sweeper (MCM),4, 30 kt, 115 kt, 4.4 m, 6.9 m, 18.4 m, 2000 kg, 8800 kg, 14000 kg, Naval Aviation [AV-MF],1984, 2x TV3-117M,https://cmano-db.com/images/DB3000/aircraft_852.jpg,Soviet,aircraft
Mi-14PL Haze A, Anti-Submarine Warfare (ASW),4, 55 kt, 115 kt, 4.4 m, 6.9 m, 18.4 m, 2000 kg, 8800 kg, 14000 kg, Naval Aviation [AV-MF],1982, 2x TV3-117M,https://cmano-db.com/images/DB3000/aircraft_933.jpg,Soviet,aircraft
Mi-14PLM Haze A, Anti-Submarine Warfare (ASW),4, 55 kt, 115 kt, 4.4 m, 6.9 m, 18.4 m, 2000 kg, 8800 kg, 14000 kg, Naval Aviation [AV-MF],1982, 2x TV3-117M,https://cmano-db.com/images/DB3000/aircraft_1025.jpg,Soviet,aircraft
Mi-14PS Haze C, Search And Rescue (SAR),4, 55 kt, 115 kt, 4.4 m, 6.9 m, 18.4 m, 2000 kg, 8800 kg, 14000 kg, Naval Aviation [AV-MF],1980, 2x TV3-117M,https://cmano-db.com/images/DB3000/aircraft_326.jpg,Soviet,aircraft
Mi-24A Hind A, Attack,3, 55 kt, 180 kt, 1.7 m, 4.4 m, 17.5 m, 1480 kg, 8200 kg, 11500 kg, Red Army,1974, 2x TV3-117V,https://cmano-db.com/images/DB3000/aircraft_453.jpg,Soviet,aircraft
Mi-24D Hind D, Attack,3, 55 kt, 180 kt, 1.7 m, 4.4 m, 17.5 m, 1480 kg, 8200 kg, 11500 kg, Red Army,1977, 2x TV3-117V,https://cmano-db.com/images/DB3000/aircraft_456.jpg,Soviet,aircraft
Mi-24K Hind, Attack,3, 55 kt, 180 kt, 1.7 m, 4.4 m, 17.5 m, 1480 kg, 8200 kg, 11500 kg, Red Army,1985, 2x TV3-117V,https://cmano-db.com/images/DB3000/aircraft_2662.jpg,Soviet,aircraft
Mi-24P Hind F, Attack,2, 55 kt, 180 kt, 1.7 m, 4.4 m, 17.5 m, 1480 kg, 8250 kg, 12000 kg, Red Army,1984, 2x TV3-117V,https://cmano-db.com/images/DB3000/aircraft_457.jpg,Soviet,aircraft
Mi-24V Hind E, Attack,2, 55 kt, 180 kt, 1.7 m, 4.4 m, 17.5 m, 1480 kg, 8200 kg, 11500 kg, Red Army,1978, 2x TV3-117V,https://cmano-db.com/images/DB3000/aircraft_76.jpg,Soviet,aircraft
Mi-26 Halo, Transport,5, 55 kt, 155 kt, 6.2 m, 8.1 m, 33.7 m, 20000 kg, 28600 kg, 56000 kg, Red Army,1985, 2x D-136,https://cmano-db.com/images/DB3000/aircraft_991.jpg,Soviet,aircraft
Mi-8MT Hip H, Transport,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,1979, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_616.jpg,Soviet,aircraft
Mi-8MTV Hip H, Transport,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,1991, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_2672.jpg,Soviet,aircraft
Mi-8PP Hip K, Electronic Warfare,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,0, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_2541.jpg,Soviet,aircraft
Mi-8PPA Hip K, Electronic Warfare,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,1982, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_2539.jpg,Soviet,aircraft
Mi-8SMV Hip J, Electronic Warfare,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,0, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_1788.jpg,Soviet,aircraft
Mi-8T Hip C, Transport,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,1968, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_1784.jpg,Soviet,aircraft
Mi-8TB Hip E, Transport,2, 55 kt, 135 kt, 5.7 m, 5.7 m, 18.2 m, 0 kg, 7160 kg, 12000 kg, Red Army,1976, 2x TV2-117A,https://cmano-db.com/images/DB3000/aircraft_1786.jpg,Soviet,aircraft
MiG-21MT Fishbed K, Fighter,1, 350 kt, 920 kt, 7.2 m, 4.1 m, 14.1 m, 0 kg, 5700 kg, 10100 kg, Frontal Aviation [VVS],1974, 1x R-13F-300,https://cmano-db.com/images/DB3000/aircraft_167.jpg,Soviet,aircraft
MiG-21S Fishbed J, Fighter,1, 350 kt, 920 kt, 7.2 m, 4.1 m, 14.1 m, 0 kg, 5650 kg, 9100 kg, Frontal Aviation [VVS],1968, 1x R-11F2S-300,https://cmano-db.com/images/DB3000/aircraft_2716.jpg,Soviet,aircraft
MiG-21SM Fishbed J, Fighter,1, 350 kt, 920 kt, 7.2 m, 4.1 m, 14.2 m, 0 kg, 5998 kg, 9400 kg, Frontal Aviation [VVS],1972, 1x R-13F-300,https://cmano-db.com/images/DB3000/aircraft_2717.jpg,Soviet,aircraft
MiG-21bis Fishbed L, Fighter,1, 350 kt, 920 kt, 7.2 m, 4.1 m, 14.1 m, 0 kg, 5895 kg, 10420 kg, Air Defence Troops [PVO],1973, 1x R-25-300,https://cmano-db.com/images/DB3000/aircraft_2719.jpg,Soviet,aircraft
MiG-21bis Fishbed N, Fighter,1, 350 kt, 920 kt, 7.2 m, 4.1 m, 14.1 m, 0 kg, 5895 kg, 10420 kg, Frontal Aviation [VVS],1973, 1x R-25-300,https://cmano-db.com/images/DB3000/aircraft_148.jpg,Soviet,aircraft
MiG-23BN Flogger H, Attack,1, 350 kt, 920 kt, 14.0 m, 4.4 m, 15.3 m, 3000 kg, 10440 kg, 20000 kg, Frontal Aviation [VVS],1974, 1x R-29B-300,https://cmano-db.com/images/DB3000/aircraft_2608.jpg,Soviet,aircraft
MiG-23M Flogger B, Fighter,1, 350 kt, 920 kt, 14.0 m, 4.8 m, 16.7 m, 2000 kg, 10890 kg, 18400 kg, Frontal Aviation [VVS],1985, 1x R-29-300,https://cmano-db.com/images/DB3000/aircraft_878.jpg,Soviet,aircraft
MiG-23ML Flogger G, Fighter,1, 350 kt, 920 kt, 14.0 m, 4.8 m, 16.7 m, 2000 kg, 10230 kg, 17800 kg, Frontal Aviation [VVS],1985, 1x R-35-300,https://cmano-db.com/images/DB3000/aircraft_208.jpg,Soviet,aircraft
MiG-23MLD Flogger K, Fighter,1, 350 kt, 920 kt, 14.0 m, 4.8 m, 16.7 m, 2000 kg, 10230 kg, 17800 kg, Frontal Aviation [VVS],1984, 1x R-35-300,https://cmano-db.com/images/DB3000/aircraft_672.jpg,Soviet,aircraft
MiG-23P Flogger G, Fighter,1, 350 kt, 920 kt, 14.0 m, 4.8 m, 16.6 m, 1500 kg, 9620 kg, 12500 kg, Air Defence Troops [PVO],1983, 1x R-35-300,https://cmano-db.com/images/DB3000/aircraft_2158.jpg,Soviet,aircraft
MiG-23PD Flogger K, Fighter,1, 350 kt, 920 kt, 14.0 m, 4.8 m, 16.6 m, 2000 kg, 10215 kg, 16520 kg, Air Defence Troops [PVO],1989, 1x R-35-300,https://cmano-db.com/images/DB3000/aircraft_2159.jpg,Soviet,aircraft
MiG-25BM Foxbat F, Wild Weasel,1, 350 kt, 1350 kt, 13.4 m, 6.0 m, 22.7 m, 4000 kg, 20755 kg, 36720 kg, Frontal Aviation [VVS],1988, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_466.jpg,Soviet,aircraft
MiG-25P Foxbat A, Fighter,1, 350 kt, 1350 kt, 14.0 m, 6.3 m, 19.75 m, 3000 kg, 20020 kg, 36720 kg, Air Defence Troops [PVO],1972, 2x R-15B-300,https://cmano-db.com/images/DB3000/aircraft_1222.jpg,Soviet,aircraft
MiG-25PD Foxbat E, Fighter,1, 350 kt, 1350 kt, 14.0 m, 6.3 m, 19.75 m, 3000 kg, 20020 kg, 36720 kg, Air Defence Troops [PVO],1984, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_227.jpg,Soviet,aircraft
MiG-25PDS Foxbat E, Fighter,1, 350 kt, 1350 kt, 14.0 m, 6.3 m, 19.75 m, 3000 kg, 20020 kg, 36720 kg, Air Defence Troops [PVO],1984, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_2433.jpg,Soviet,aircraft
MiG-25RB Foxbat B, Recon,1, 350 kt, 1350 kt, 13.4 m, 6.3 m, 21.6 m, 4000 kg, 20755 kg, 41200 kg, Frontal Aviation [VVS],1972, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_226.jpg,Soviet,aircraft
MiG-25RBF Foxbat D, Recon,1, 350 kt, 1350 kt, 13.4 m, 6.3 m, 21.6 m, 4000 kg, 20755 kg, 41200 kg, Frontal Aviation [VVS],1981, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_989.jpg,Soviet,aircraft
MiG-25RBK Foxbat B, Recon,1, 350 kt, 1350 kt, 13.4 m, 6.3 m, 21.6 m, 4000 kg, 20755 kg, 39830 kg, Frontal Aviation [VVS],1976, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_987.jpg,Soviet,aircraft
MiG-25RBS Foxbat D, Recon,1, 350 kt, 1350 kt, 13.4 m, 6.3 m, 21.6 m, 4000 kg, 20755 kg, 39830 kg, Frontal Aviation [VVS],1982, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_988.jpg,Soviet,aircraft
MiG-25RBSh Foxbat D, Recon,1, 350 kt, 1350 kt, 13.4 m, 6.3 m, 21.6 m, 4000 kg, 20755 kg, 39830 kg, Frontal Aviation [VVS],1982, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_440.jpg,Soviet,aircraft
MiG-25RBT Foxbat B, Recon,1, 350 kt, 1350 kt, 13.4 m, 6.3 m, 21.6 m, 4000 kg, 20755 kg, 39830 kg, Frontal Aviation [VVS],1984, 2x R-15BD-300,https://cmano-db.com/images/DB3000/aircraft_986.jpg,Soviet,aircraft
MiG-27 Flogger D, Attack,1, 350 kt, 920 kt, 14.0 m, 4.4 m, 15.5 m, 35000 kg, 11910 kg, 20670 kg, Frontal Aviation [VVS],1976, 1x R-29B-300,https://cmano-db.com/images/DB3000/aircraft_218.jpg,Soviet,aircraft
MiG-27K Flogger J, Attack,1, 350 kt, 920 kt, 14.0 m, 4.4 m, 15.5 m, 35000 kg, 11910 kg, 20670 kg, Frontal Aviation [VVS],1985, 1x R-29B-300,https://cmano-db.com/images/DB3000/aircraft_874.jpg,Soviet,aircraft
MiG-27M Flogger J, Attack,1, 350 kt, 920 kt, 14.0 m, 4.4 m, 15.5 m, 35000 kg, 11910 kg, 20670 kg, Frontal Aviation [VVS],1985, 1x R-29B-300,https://cmano-db.com/images/DB3000/aircraft_78.jpg,Soviet,aircraft
MiG-29 Fulcrum A, Multirole (Fighter/Attack),1, 350 kt, 920 kt, 11.4 m, 4.73 m, 17.3 m, 0 kg, 10200 kg, 18500 kg, Frontal Aviation [VVS],1984, 2x RD-33,https://cmano-db.com/images/DB3000/aircraft_740.jpg,Soviet,aircraft
MiG-29 Fulcrum C, Multirole (Fighter/Attack),1, 350 kt, 920 kt, 11.4 m, 4.73 m, 17.3 m, 0 kg, 10900 kg, 18500 kg, Frontal Aviation [VVS],1987, 2x RD-33,https://cmano-db.com/images/DB3000/aircraft_741.jpg,Soviet,aircraft
MiG-29S Fulcrum C, Multirole (Fighter/Attack),1, 350 kt, 920 kt, 11.4 m, 4.73 m, 17.3 m, 0 kg, 11200 kg, 18500 kg, Frontal Aviation [VVS],1987, 2x RD-33,https://cmano-db.com/images/DB3000/aircraft_843.jpg,Soviet,aircraft
MiG-29UB Fulcrum B, Trainer,2, 350 kt, 920 kt, 11.4 m, 4.73 m, 17.3 m, 0 kg, 10200 kg, 18500 kg, Frontal Aviation [VVS],1987, 2x RD-33,https://cmano-db.com/images/DB3000/aircraft_849.jpg,Soviet,aircraft
MiG-31 Foxhound, Fighter,2, 350 kt, 1350 kt, 13.5 m, 6.2 m, 22.7 m, 5000 kg, 21825 kg, 46200 kg, Air Defence Troops [PVO],1982, 2x D-30F6,https://cmano-db.com/images/DB3000/aircraft_15.jpg,Soviet,aircraft
Su-15MF Flagon D, Fighter,1, 350 kt, 920 kt, 9.3 m, 5.0 m, 22.1 m, 1500 kg, 10060 kg, 16520 kg, Air Defence Troops [PVO],1972, 2x R-11F2-300,https://cmano-db.com/images/DB3000/aircraft_2506.jpg,Soviet,aircraft
Su-15TM Flagon E/F, Fighter,1, 350 kt, 920 kt, 9.3 m, 4.8 m, 19.6 m, 1500 kg, 10760 kg, 17900 kg, Air Defence Troops [PVO],1979, 2x R-13F2-300,https://cmano-db.com/images/DB3000/aircraft_688.jpg,Soviet,aircraft
Su-17 Fitter B, Attack,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1985, 1x AL-7F-1,https://cmano-db.com/images/DB3000/aircraft_1621.jpg,Soviet,aircraft
Su-17M Fitter C, Attack,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1985, 1x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_1619.jpg,Soviet,aircraft
Su-17M-2 Fitter D, Attack,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1985, 1x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_1620.jpg,Soviet,aircraft
Su-17M-3 Fitter H, Attack,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1985, 1x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_689.jpg,Soviet,aircraft
Su-17M-3R Fitter H, Recon,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1978, 1x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_2666.jpg,Soviet,aircraft
Su-17M-4 Fitter K, Attack,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1985, 1x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_1177.jpg,Soviet,aircraft
Su-17M-4R Fitter K, Recon,1, 350 kt, 920 kt, 13.7 m, 5.1 m, 17.3 m, 0 kg, 10880 kg, 19500 kg, Frontal Aviation [VVS],1985, 1x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_2667.jpg,Soviet,aircraft
Su-24 Fencer B, Attack,2, 350 kt, 750 kt, 17.6 m, 5.9 m, 22.7 m, 7000 kg, 21150 kg, 37900 kg, Frontal Aviation [VVS],1985, 2x AL-21F-3,https://cmano-db.com/images/DB3000/aircraft_714.jpg,Soviet,aircraft
Su-24 Fencer C, Attack,2, 350 kt, 750 kt, 17.6 m, 5.9 m, 22.7 m, 8100 kg, 21150 kg, 37900 kg, Frontal Aviation [VVS],1981, 2x AL-21F-3A,https://cmano-db.com/images/DB3000/aircraft_469.jpg,Soviet,aircraft
